lat,lon,id,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Density Weight,Wealth Equity Score,Normalized IMD Score,Normalized Income Score,area,Population Density,norm_pop,norm_imd,norm_density,Value,Policy,build_rank
51.53309,-0.06485,potential_429,POINT (-0.06485 51.53309),5283.0,E01001775,Hackney 024C,E02000368,Hackney 024,E09000012,Hackney,Hackney 024C," 11,193 "," 15,249 "," 18,333 "," 21,632 ",24845.0," 28,025 "," 33,449 "," 39,068 "," 50,076 ",98.4,1928.0,39.3,0.0024787521766663,0.6218359487967853,0.7557692307692307,0.3781640512032146,1.6434716483420234e-05,117312641.3190648,0.49922320041429313,0.7557692307692307,0.0024787521766663,5.982435288989553,1,11
51.53519,-0.13704,potential_546,POINT (-0.13704 51.53519),899.0,E01000959,Camden 019E,E02000184,Camden 019,E09000007,Camden,Camden 019E," 8,578 "," 13,097 "," 16,847 "," 19,726 ",23101.0," 26,421 "," 30,674 "," 36,395 "," 45,800 ",95.3,1906.0,39.0,0.0024787521766663,0.6483812539003637,0.75,0.3516187460996362,9.481839181392215e-06,201015853.94323707,0.4935266701191093,0.75,0.0024787521766663,5.981712303270728,1,12
51.532229,-0.084802,potential_1458,POINT (-0.084802 51.532229),5329.0,E01001781,Hackney 026B,E02000370,Hackney 026,E09000012,Hackney,Hackney 026B," 11,043 "," 14,698 "," 17,963 "," 21,300 ",24389.0," 27,701 "," 32,739 "," 37,637 "," 48,546 ",98.2,1707.0,44.7,0.0003354626279025,0.6287766937091889,0.8596153846153847,0.3712233062908111,1.9594387169564145e-05,87116784.27235906,0.4419989642672191,0.8596153846153847,0.0003354626279025,5.925008890139479,1,13
51.49797,-0.07633,potential_988,POINT (-0.07633 51.49797),7618.0,E01003976,Southwark 036D,E02006942,Southwark 036,E09000028,Southwark,Southwark 003A," 9,768 "," 14,719 "," 19,568 "," 23,917 ",27697.0," 33,775 "," 40,342 "," 53,915 "," 85,620 ",96.8,2459.0,30.4,0.0024787521766663,0.5784258512306124,0.5846153846153845,0.4215741487693876,1.5534980140195586e-05,158287939.72111517,0.6367167270844122,0.5846153846153845,0.0024787521766663,5.923527386257545,1,14
51.51287,-0.05779,potential_1393,POINT (-0.05779 51.51287),9382.0,E01004304,Tower Hamlets 022C,E02000885,Tower Hamlets 022,E09000030,Tower Hamlets,Tower Hamlets 022C," 10,382 "," 13,442 "," 15,870 "," 18,466 ",21221.0," 24,744 "," 29,061 "," 34,341 "," 45,522 ",97.9,2215.0,38.5,0.0003354626279025,0.676996605732203,0.7403846153846154,0.323003394267797,1.3335054655978924e-05,166103556.16404465,0.5735370274469187,0.7403846153846154,0.0003354626279025,5.877344347783911,1,15
51.51591,-0.0457,potential_1363,POINT (-0.0457 51.51591),7951.0,E01004289,Tower Hamlets 016C,E02000879,Tower Hamlets 016,E09000030,Tower Hamlets,Tower Hamlets 016C," 10,239 "," 15,313 "," 18,708 "," 21,733 ",25103.0," 29,498 "," 35,408 "," 42,904 "," 50,910 ",98.4,2182.0,34.6,0.0024787521766663,0.6179089483858202,0.6653846153846155,0.3820910516141798,1.360098820569626e-05,160429519.3114094,0.564992232004143,0.6653846153846155,0.0024787521766663,5.837042415375698,1,16
51.53317,-0.09654,potential_1457,POINT (-0.09654 51.53317),6370.0,E01002800,Islington 018E,E02000571,Islington 018,E09000019,Islington,Islington 018E," 12,285 "," 16,659 "," 19,721 "," 23,968 ",27337.0," 32,806 "," 39,873 "," 52,348 "," 91,028 ",96.9,1698.0,38.9,0.0024787521766663,0.583905386687773,0.7480769230769231,0.4160946133122269,1.0741744727380885e-05,158074879.1834319,0.4396685655100984,0.7480769230769231,0.0024787521766663,5.827770539107593,1,17
51.52803,-0.09526,potential_399,POINT (-0.09526 51.52803),6322.0,E01002702,Islington 023B,E02000576,Islington 023,E09000019,Islington,Islington 023B," 10,262 "," 14,790 "," 18,578 "," 22,795 ",26163.0," 30,268 "," 34,588 "," 41,699 "," 54,210 ",94.3,2653.0,29.5,0.0003354626279025,0.601774760650847,0.5673076923076923,0.3982252393491529,1.4989422295740074e-05,176991477.56708214,0.6869497669601243,0.5673076923076923,0.0003354626279025,5.804530422521557,1,18
51.52386,-0.0242,potential_1245,POINT (-0.0242 51.52386),9498.0,E01004267,Tower Hamlets 012D,E02000875,Tower Hamlets 012,E09000030,Tower Hamlets,Tower Hamlets 012D," 10,625 "," 14,755 "," 18,506 "," 22,252 ",26862.0," 31,017 "," 38,046 "," 49,061 "," 65,689 ",97.7,2325.0,33.0,0.0183156388887341,0.59113532930486,0.6346153846153846,0.4088646706951399,2.729898273693777e-05,85168008.72781546,0.6020196789228379,0.6346153846153846,0.0183156388887341,5.791031592084373,1,19
51.53524,-0.11094,potential_881,POINT (-0.11094 51.53524),2841.0,E01002694,Islington 019A,E02000572,Islington 019,E09000019,Islington,Islington 019A," 12,117 "," 15,906 "," 19,117 "," 21,791 ",24588.0," 28,911 "," 33,941 "," 39,981 "," 54,102 ",97.8,1613.0,43.0,0.0024787521766663,0.6257477282759251,0.8269230769230769,0.3742522717240749,9.09352998884016e-06,177378861.89186376,0.4176592439150699,0.8269230769230769,0.0024787521766663,5.775788411338876,1,20
