lat,lon,id,name,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Station Name,Start Count,End Count,Total Demand,Normalized Demand
51.516204,-0.155525,BikePoints_514,"Portman Square, Marylebone",POINT (-0.155525 51.516204),4976,E01004714,Westminster 011B,E02000970,Westminster 011,E09000033,Westminster,Westminster 011B," 12,182 "," 20,739 "," 27,714 "," 35,886 ",44334.0," 54,707 "," 73,272 "," 103,485 "," 176,943 ",87.8,2629.0,10.3,"Portman Square, Marylebone",9531.0,10301,19832.0,0.15544634389133177
51.500088,-0.211316,BikePoints_515,"Russell Gardens, Olympia",POINT (-0.211316 51.500088),2981,E01002866,Kensington and Chelsea 009B,E02000585,Kensington and Chelsea 009,E09000020,Kensington and Chelsea,Kensington and Chelsea 009B," 9,999 "," 16,619 "," 23,239 "," 28,458 ",34924.0," 41,467 "," 50,976 "," 63,763 "," 88,447 ",94.9,1659.0,20.7,"Russell Gardens, Olympia",6062.0,5652,11714.0,0.09181617952516441
51.5112,-0.014438,BikePoints_516,"Chrisp Street Market, Poplar",POINT (-0.014438 51.5112),4404,E01004247,Tower Hamlets 020C,E02000883,Tower Hamlets 020,E09000030,Tower Hamlets,Tower Hamlets 020C," 10,728 "," 14,596 "," 17,317 "," 20,630 ",23169.0," 26,094 "," 29,726 "," 36,430 "," 45,486 ",98.9,2765.0,41.7,"Chrisp Street Market, Poplar",5515.0,5644,11159.0,0.08746600199089206
51.532513,-0.033085,BikePoints_517,"Ford Road, Old Ford",POINT (-0.033085 51.532513),4535,E01004234,Tower Hamlets 003E,E02000866,Tower Hamlets 003,E09000030,Tower Hamlets,Tower Hamlets 003E," 12,311 "," 19,747 "," 24,128 "," 29,897 ",37586.0," 43,377 "," 50,671 "," 61,619 "," 76,934 ",97.7,2285.0,24.2,"Ford Road, Old Ford",8755.0,8459,17214.0,0.13492604698191737
51.528224,-0.037471,BikePoints_518,"Antill Road, Mile End",POINT (-0.037471 51.528224),4413,E01004230,Tower Hamlets 003B,E02000866,Tower Hamlets 003,E09000030,Tower Hamlets,Tower Hamlets 003B," 10,234 "," 14,803 "," 19,693 "," 23,492 ",27518.0," 32,152 "," 38,974 "," 48,382 "," 63,106 ",97.8,2299.0,27.8,"Antill Road, Mile End",8031.0,7018,15049.0,0.11795643551939552
51.518811,-0.011662,BikePoints_519,"Teviot Street, Poplar",POINT (-0.011662 51.518811),4510,E01004248,Tower Hamlets 018C,E02000881,Tower Hamlets 018,E09000030,Tower Hamlets,Tower Hamlets 018C," 9,108 "," 12,178 "," 15,539 "," 18,236 ",21085.0," 23,799 "," 26,591 "," 32,012 "," 40,553 ",98.1,1909.0,43.1,"Teviot Street, Poplar",1840.0,1913,3753.0,0.02941660592094434
51.526041,-0.047218,BikePoints_520,"Bancroft Road, Bethnal Green",POINT (-0.047218 51.526041),4503,E01004259,Tower Hamlets 007A,E02000870,Tower Hamlets 007,E09000030,Tower Hamlets,Tower Hamlets 007A," 10,180 "," 13,869 "," 18,937 "," 22,632 ",26805.0," 32,423 "," 40,012 "," 50,302 "," 65,901 ",98.1,1865.0,26.2,"Bancroft Road, Bethnal Green",9811.0,8414,18225.0,0.14285042443624052
51.534137,-0.037366,BikePoints_521,"Driffield Road, Old Ford",POINT (-0.037366 51.534137),4535,E01004234,Tower Hamlets 003E,E02000866,Tower Hamlets 003,E09000030,Tower Hamlets,Tower Hamlets 003E," 12,311 "," 19,747 "," 24,128 "," 29,897 ",37586.0," 43,377 "," 50,671 "," 61,619 "," 76,934 ",97.7,2285.0,24.2,"Driffield Road, Old Ford",9754.0,9013,18767.0,0.14709870592016053
51.525941,-0.036017,BikePoints_522,"Clinton Road, Mile End",POINT (-0.036017 51.525941),4459,E01004232,Tower Hamlets 003C,E02000866,Tower Hamlets 003,E09000030,Tower Hamlets,Tower Hamlets 003C," 13,678 "," 19,928 "," 25,434 "," 30,529 ",37282.0," 44,636 "," 54,571 "," 68,659 "," 93,763 ",97.7,1915.0,20.7,"Clinton Road, Mile End",6871.0,6955,13826.0,0.10837036862855755
51.51549,-0.013475,BikePoints_523,"Langdon Park, Poplar",POINT (-0.013475 51.51549),4523,E01004249,Tower Hamlets 018D,E02000881,Tower Hamlets 018,E09000030,Tower Hamlets,Tower Hamlets 018D," 10,054 "," 13,122 "," 16,298 "," 19,192 ",21824.0," 24,631 "," 27,470 "," 32,578 "," 41,687 ",98.0,2581.0,43.1,"Langdon Park, Poplar",3476.0,3541,7017.0,0.05500035271709738
