LSOA11CD,population,IMD score
E01000172,1813.0,8.4
E01000173,1770.0,9.7
E01000174,1972.0,16.3
E01000175,1499.0,7.6
E01000176,1681.0,30.5
E01000177,1807.0,8.3
E01000178,1806.0,8.1
E01000179,1826.0,8.5
E01000180,1756.0,14.6
E01000181,1831.0,8.2
E01000182,1946.0,8.0
E01000183,1658.0,10.6
E01000184,1756.0,31.9
E01000185,1505.0,25.8
E01000186,1734.0,5.2
E01000187,1744.0,13.0
E01000188,1577.0,8.0
E01000189,1237.0,24.5
E01000190,1757.0,10.1
E01000191,1588.0,6.8
E01000192,2169.0,15.5
E01000193,2098.0,16.1
E01000194,2064.0,19.4
E01000195,2004.0,27.0
E01000196,2332.0,12.3
E01000197,2064.0,12.5
E01000198,2247.0,11.8
E01000199,1643.0,7.2
E01000200,2092.0,9.6
E01000201,1680.0,7.2
E01000202,1844.0,6.7
E01000203,2034.0,15.5
E01000204,1906.0,10.1
E01000205,1722.0,7.7
E01000206,1580.0,9.1
E01000207,1659.0,6.6
E01000208,1704.0,6.6
E01000209,1508.0,7.1
E01000210,1643.0,8.2
E01000211,2268.0,14.6
E01000212,1514.0,10.3
E01000213,1408.0,7.6
E01000214,1909.0,10.5
E01000215,2330.0,13.6
E01000216,2141.0,10.0
E01000217,1860.0,10.8
E01000218,2122.0,15.3
E01000219,2109.0,19.9
E01000220,2132.0,17.1
E01000221,1317.0,45.8
E01000222,1975.0,27.1
E01000223,1758.0,35.8
E01000224,1759.0,19.7
E01000225,2017.0,11.0
E01000226,1801.0,31.7
E01000227,1954.0,10.0
E01000228,1517.0,12.5
E01000229,1757.0,21.6
E01000230,2034.0,7.9
E01000231,1987.0,17.6
E01000232,1983.0,14.5
E01000233,1905.0,8.9
E01000234,1886.0,8.7
E01000235,1939.0,23.3
E01000236,2096.0,10.6
E01000237,2233.0,9.5
E01000238,2085.0,14.5
E01000239,2079.0,21.6
E01000240,1754.0,19.6
E01000241,1789.0,10.7
E01000242,1662.0,19.2
E01000243,2070.0,14.1
E01000244,1639.0,15.6
E01000245,2206.0,24.1
E01000246,1527.0,10.6
E01000247,1747.0,10.1
E01000248,1767.0,7.3
E01000249,1512.0,5.9
E01000250,2793.0,13.0
E01000251,2123.0,18.9
E01000252,1694.0,13.4
E01000253,1735.0,9.4
E01000254,1625.0,7.8
E01000255,1473.0,18.7
E01000256,1878.0,10.6
E01000257,1990.0,25.0
E01000258,1915.0,9.2
E01000259,2785.0,13.4
E01000260,2249.0,19.9
E01000261,1749.0,7.6
E01000262,1969.0,11.6
E01000263,1580.0,5.9
E01000264,1830.0,16.5
E01000265,2134.0,15.1
E01000266,1452.0,8.0
E01000267,1597.0,12.8
E01000268,2303.0,15.3
E01000269,1437.0,10.4
E01000270,1502.0,12.0
E01000271,1582.0,6.6
E01000272,1458.0,4.8
E01000273,1650.0,14.1
E01000274,2023.0,15.6
E01000275,1748.0,13.5
E01000276,1582.0,4.1
E01000277,2155.0,18.2
E01000278,1667.0,5.5
E01000279,1440.0,9.0
E01000280,1311.0,4.0
E01000281,1607.0,10.9
E01000282,1834.0,8.6
E01000283,1463.0,4.6
E01000284,1804.0,15.5
E01000285,1387.0,15.1
E01000286,1723.0,23.9
E01000287,1582.0,22.7
E01000288,1567.0,13.0
E01000289,1652.0,38.3
E01000290,1613.0,19.9
E01000291,1580.0,32.9
E01000292,1629.0,11.3
E01000293,1768.0,7.6
E01000294,1857.0,12.2
E01000295,1769.0,13.3
E01000296,1859.0,12.1
E01000297,1554.0,9.0
E01000298,2007.0,11.8
E01000299,2283.0,17.0
E01000300,1763.0,12.3
E01000301,1628.0,7.1
E01000302,2060.0,15.6
E01000303,1778.0,6.8
E01000304,1669.0,13.5
E01000305,1686.0,27.9
E01000306,1695.0,14.0
E01000307,1731.0,23.3
E01000308,2180.0,31.8
E01000309,2033.0,13.9
E01000310,2240.0,19.2
E01000311,1903.0,11.1
E01000312,1816.0,24.9
E01000313,2285.0,19.9
E01000314,2131.0,10.7
E01000315,1744.0,32.7
E01000316,2528.0,19.9
E01000317,1821.0,10.9
E01000318,1896.0,14.7
E01000319,1577.0,9.9
E01000320,1910.0,8.7
E01000321,1903.0,14.4
E01000322,1864.0,14.9
E01000323,2483.0,18.8
E01000324,1851.0,13.8
E01000325,1643.0,5.9
E01000326,1360.0,12.0
E01000327,1654.0,7.7
E01000328,1478.0,11.4
E01000329,1649.0,15.9
E01000330,1622.0,17.9
E01000331,1749.0,28.3
E01000332,1595.0,16.1
E01000333,1922.0,25.9
