name,lsoa21cd,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
Wandsworth 007D,E01004541,782,73,137,92,33,5,2,3,1,328,108
Wandsworth 008A,E01004534,1275,67,117,122,45,10,3,2,9,818,82
Wandsworth 008B,E01004536,1214,90,186,170,64,11,3,2,16,532,140
Wandsworth 008C,E01004552,1523,46,120,185,45,21,6,7,6,1009,78
Wandsworth 008D,E01004585,1245,46,137,124,51,8,3,1,3,807,65
Wandsworth 008E,E01004588,1503,28,102,219,58,14,4,2,8,997,71
Wandsworth 009A,E01004554,1034,29,59,133,28,1,1,3,4,730,46
Wandsworth 009B,E01004556,874,27,35,93,27,4,5,2,1,644,36
Wandsworth 009C,E01004586,1371,57,124,148,43,6,3,3,3,920,64
Wandsworth 009D,E01004587,1156,35,91,124,26,5,4,3,6,804,58
Wandsworth 009E,E01004589,1190,41,101,124,38,9,8,0,3,806,60
Wandsworth 010B,E01004511,1078,55,77,131,52,8,4,0,3,681,67
Wandsworth 010C,E01004602,1043,50,61,120,44,6,1,3,3,692,63
Wandsworth 010E,E01004609,1489,70,114,180,59,7,3,5,7,947,97
Wandsworth 010G,E01033135,755,19,53,81,32,7,1,2,4,525,31
Wandsworth 010H,E01035490,1036,49,59,113,61,7,5,3,8,668,63
Wandsworth 010I,E01035491,949,43,91,103,33,4,2,0,4,618,51
Wandsworth 010J,E01035492,1238,52,95,152,29,6,7,2,7,829,59
Wandsworth 010K,E01035493,1085,61,96,136,39,10,0,3,6,657,77
Wandsworth 011A,E01004506,1497,66,93,166,87,11,1,2,6,997,68
Wandsworth 011B,E01004638,648,32,43,48,38,2,1,0,0,445,39
Wandsworth 011C,E01004639,965,51,80,152,59,2,0,2,3,530,86
Wandsworth 011D,E01004640,1028,29,62,103,63,9,1,1,5,695,60
Wandsworth 011E,E01004641,969,68,99,140,50,3,5,1,3,506,94
Wandsworth 012A,E01004508,1447,62,115,147,49,15,12,3,9,954,81
Wandsworth 012B,E01004510,1232,68,110,134,45,11,2,5,10,759,88
Wandsworth 012C,E01004514,1172,62,101,153,44,5,5,3,6,732,61
Wandsworth 012D,E01004515,1152,70,122,152,43,17,5,1,13,639,90
Wandsworth 012E,E01004551,1109,38,114,158,33,4,6,1,6,678,71
Wandsworth 013A,E01004568,519,42,89,89,52,4,4,4,11,94,130
Wandsworth 013B,E01004574,817,80,166,173,53,11,8,6,8,148,164
Wandsworth 013C,E01004575,716,76,101,127,81,6,3,3,4,214,101
Wandsworth 013D,E01004576,682,54,80,113,52,19,2,0,3,217,142
Wandsworth 014A,E01004500,1298,70,112,183,75,7,2,1,2,756,90
Wandsworth 014B,E01004501,825,61,84,123,51,5,4,4,5,402,86
Wandsworth 014C,E01004503,1029,69,77,135,52,1,4,1,8,612,70
Wandsworth 014D,E01004505,957,58,77,115,55,8,2,2,1,576,63
Wandsworth 014E,E01004507,1735,78,159,228,70,6,7,1,2,1110,74
Wandsworth 015A,E01004553,1193,44,113,147,48,4,3,2,4,757,71
Wandsworth 015B,E01004557,933,62,60,106,31,1,0,3,2,619,49
Wandsworth 015C,E01004558,1025,42,69,97,37,5,4,3,5,708,55
Wandsworth 015D,E01004559,752,37,52,106,27,7,4,1,1,481,36
Wandsworth 015E,E01004619,729,37,43,95,27,11,3,3,1,469,40
Wandsworth 016A,E01004572,810,35,119,155,74,3,0,3,9,299,113
Wandsworth 016B,E01004642,1124,75,115,210,67,14,8,5,6,507,117
Wandsworth 016C,E01004643,1126,77,125,137,72,4,5,4,7,559,136
Wandsworth 016D,E01004644,1311,80,133,201,94,7,5,3,5,652,131
Wandsworth 016E,E01004645,913,110,125,174,54,8,4,3,7,272,156
Wandsworth 017A,E01004477,864,28,52,82,36,3,0,2,5,614,42
Wandsworth 017B,E01004478,803,35,44,93,29,2,0,2,3,557,38
Wandsworth 017C,E01004479,871,40,53,109,26,3,4,2,2,585,47
Wandsworth 017D,E01004550,670,19,55,78,26,1,1,0,1,444,45
Wandsworth 017E,E01004555,922,34,45,117,26,5,2,3,6,645,39
Wandsworth 018A,E01004494,1116,78,118,155,49,8,3,2,5,615,83
Wandsworth 018B,E01004513,1172,96,121,169,49,8,4,1,5,595,124
Wandsworth 018D,E01004601,1490,113,124,181,71,9,4,4,4,814,166
Wandsworth 018E,E01035494,1430,57,117,172,64,3,3,3,17,911,83
Wandsworth 018F,E01035495,566,92,99,94,44,2,1,1,2,152,79
Wandsworth 019A,E01004493,1226,74,130,146,50,6,3,4,6,722,85
Wandsworth 019B,E01004512,841,36,68,80,18,4,2,3,3,556,71
Wandsworth 019C,E01004620,1051,66,84,157,33,12,3,4,3,586,103
Wandsworth 019D,E01004621,997,58,93,104,35,8,0,0,7,621,71
Wandsworth 019E,E01004623,1092,50,101,140,50,5,1,2,5,661,77
Wandsworth 019F,E01004627,878,43,79,97,28,9,3,1,5,560,53
Wandsworth 020A,E01004499,1042,61,86,110,41,7,3,4,5,656,69
Wandsworth 020B,E01004502,995,51,80,100,39,4,5,2,3,661,50
Wandsworth 020C,E01004504,831,48,67,117,43,4,3,0,7,463,79
